Date Start,Date End,Service,Usage Type,Blended Cost,Unblended Cost,Usage Quantity,Unit
2023-09-21,2023-09-22,AWS Key Management Service,us-east-2-KMS-Requests,0.00,,3.00,Requests
2023-09-21,2023-09-22,AWS Key Management Service,us-west-2-KMS-Requests,0.00,,4.00,Requests
2023-09-21,2023-09-22,AWS Lambda,Lambda-GB-Second,0.00,,45.54,Second
2023-09-21,2023-09-22,AWS Lambda,Request,0.00,,149.00,Requests
2023-09-21,2023-09-22,AWS Lambda,USE1-DataTransfer-xAZ-In-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,AWS Lambda,USE1-DataTransfer-xAZ-Out-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,AWS Lambda,USW2-Lambda-GB-Second,0.00,,39.27,Second
2023-09-21,2023-09-22,AWS Lambda,USW2-Request,0.00,,120.00,Requests
2023-09-21,2023-09-22,AWS Secrets Manager,USE1-AWSSecretsManager-Secrets,0.01,,0.03,Secrets
2023-09-21,2023-09-22,AWS Secrets Manager,USE1-AWSSecretsManagerAPIRequest,0.00,,17.00,API Requests
2023-09-21,2023-09-22,AWS Security Hub,USE1-OtherProduct:PaidFindingsIngestion,0.00,,2.00,Finding Ingestion Events
2023-09-21,2023-09-22,AWS Security Hub,USE1-PaidComplianceCheck,0.09,,168.00,Security Checks
2023-09-21,2023-09-22,AWS Security Hub,USE1-SecurityHubProduct:FreeFindingsIngestion,0.00,,1055.00,Finding Ingestion Events
2023-09-21,2023-09-22,Amazon EC2 Container Registry (ECR),TimedStorage-ByteHrs,0.00,,0.00,GB-Month
2023-09-21,2023-09-22,EC2 - Other,DataTransfer-Regional-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,EC2 - Other,EBS:VolumeUsage.gp3,0.08,,1.00,GB-Month
2023-09-21,2023-09-22,EC2 - Other,NatGateway-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,EC2 - Other,NatGateway-Hours,1.08,,24.00,Hrs
2023-09-21,2023-09-22,EC2 - Other,USE1-APS1-AWS-In-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,EC2 - Other,USE1-EUW2-AWS-In-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,EC2 - Other,USE1-USE2-AWS-In-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,EC2 - Other,USE1-USW2-AWS-In-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Elastic Compute Cloud - Compute,BoxUsage:t3.small,0.50,,24.00,Hrs
2023-09-21,2023-09-22,Amazon Elastic Compute Cloud - Compute,DataTransfer-In-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Elastic Compute Cloud - Compute,DataTransfer-Out-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Elastic Container Service,DataTransfer-Regional-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Elastic Container Service,USE1-Fargate-GB-Hours,1.29,,289.37,Hrs
2023-09-21,2023-09-22,Amazon Elastic Container Service,USE1-Fargate-vCPU-Hours:perCPU,2.93,,72.34,Hrs
2023-09-21,2023-09-22,Amazon Elastic Load Balancing,LoadBalancerUsage,0.54,,24.00,Hrs
2023-09-21,2023-09-22,Amazon GuardDuty,USE1-PaidEventsAnalyzed,0.04,,9431.00,Events
2023-09-21,2023-09-22,Amazon GuardDuty,USE1-PaidEventsAnalyzed-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon GuardDuty,USE1-PaidS3DataEventsAnalyzed,0.00,,53.00,Events
2023-09-21,2023-09-22,Amazon Macie,USE1-PaidDataInventoryEvaluation,0.02,,7.00,Bucket-days
2023-09-21,2023-09-22,Amazon Relational Database Service,Aurora:BackupUsage,0.00,,0.00,GB-Month
2023-09-21,2023-09-22,Amazon Relational Database Service,Aurora:ServerlessV2Usage,2.88,,24.00,ACU-Hr
2023-09-21,2023-09-22,Amazon Relational Database Service,Aurora:StorageIOUsage,0.09,,461505.00,IOs
2023-09-21,2023-09-22,Amazon Relational Database Service,Aurora:StorageUsage,0.00,,0.00,GB-Month
2023-09-21,2023-09-22,Amazon Relational Database Service,DataTransfer-In-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Relational Database Service,DataTransfer-Out-Bytes,0.00,,0.00,GB
2023-09-21,2023-09-22,Amazon Simple Notification Service,APS1-Requests-Tier1,0.00,,3.00,Requests
